Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR,playerid
Mike Trout,Angels,92,420,22,66,73,10,12.6 %,23.3 %,0.294,0.365,0.311,0.398,0.605,0.427,180,2.2,40.2,-1.7,5.7,10155
Troy Tulowitzki,Rockies,91,375,21,71,52,1,13.3 %,15.2 %,0.263,0.355,0.34,0.432,0.603,0.443,172,-1.3,28.9,7.3,5.1,3531
Alex Gordon,Royals,90,376,9,47,45,6,9.6 %,16.8 %,0.154,0.309,0.271,0.351,0.425,0.344,118,3.5,10.9,19.6,4.6,5209
Andrew McCutchen,Pirates,95,428,17,57,61,15,14.0 %,17.5 %,0.246,0.363,0.32,0.418,0.566,0.423,177,1.8,38.5,-9,4.6,9847
Carlos Gomez,Brewers,89,396,14,58,48,17,6.6 %,22.0 %,0.202,0.37,0.305,0.37,0.507,0.384,144,1.9,21.6,5.8,4.3,4881
Paul Goldschmidt,Diamondbacks,97,428,18,70,65,8,13.6 %,22.0 %,0.256,0.379,0.314,0.408,0.57,0.418,167,2.5,34.6,-9.6,4.1,9218
Giancarlo Stanton,Marlins,96,420,23,63,65,8,13.6 %,25.5 %,0.256,0.361,0.295,0.395,0.552,0.402,158,0,27.3,-2.4,4.1,4949
Michael Brantley,Indians,93,405,15,66,63,11,7.7 %,8.1 %,0.195,0.328,0.329,0.388,0.523,0.397,157,4.1,30.3,-7,4,4106
Jonathan Lucroy,Brewers,90,390,9,46,44,4,10.3 %,11.3 %,0.179,0.338,0.314,0.385,0.493,0.382,143,-0.1,18.8,4.6,3.8,7870
Adam Jones,Orioles,96,416,17,56,59,6,2.9 %,16.8 %,0.189,0.325,0.301,0.327,0.49,0.354,124,4.8,15.9,5.3,3.8,6368
Josh Donaldson,Athletics,94,418,21,63,68,3,9.6 %,19.6 %,0.217,0.25,0.239,0.316,0.456,0.338,117,-0.7,7.3,13.5,3.7,5038
Todd Frazier,Reds,96,408,19,57,53,15,7.8 %,20.6 %,0.205,0.327,0.289,0.35,0.495,0.369,135,3.2,19,3.1,3.7,785
Kyle Seager,Mariners,94,393,15,39,63,4,8.4 %,19.6 %,0.21,0.313,0.275,0.344,0.484,0.362,132,-0.2,14.1,6.7,3.6,9785
Yasiel Puig,Dodgers,92,401,12,53,52,7,11.0 %,19.5 %,0.21,0.368,0.308,0.396,0.519,0.398,160,-0.5,26.6,-5.2,3.6,14225
Robinson Cano,Mariners,93,404,7,49,57,7,8.4 %,11.4 %,0.124,0.366,0.335,0.394,0.459,0.37,138,1.9,19.1,0.7,3.6,3269
Jason Heyward,Braves,95,422,9,48,38,11,10.7 %,16.1 %,0.127,0.292,0.256,0.344,0.383,0.326,107,0.2,3.4,16.1,3.5,4940
Hunter Pence,Giants,98,427,12,69,35,8,7.7 %,16.9 %,0.169,0.339,0.297,0.356,0.467,0.36,137,6,23.9,-4.9,3.4,8252
Anthony Rendon,Nationals,91,406,13,68,53,8,7.6 %,16.3 %,0.198,0.311,0.283,0.338,0.481,0.356,128,3.6,16.2,2.9,3.4,12861
Miguel Cabrera,Tigers,93,399,14,58,75,1,8.8 %,15.5 %,0.225,0.338,0.313,0.368,0.538,0.386,145,-0.7,19.6,-1.4,3.4,1744
Ian Kinsler,Tigers,93,418,11,64,52,10,4.3 %,10.0 %,0.161,0.303,0.294,0.326,0.455,0.341,114,3.1,9.6,6.6,3.2,6195
Jose Abreu,White Sox,84,360,29,50,73,1,6.4 %,23.6 %,0.333,0.306,0.291,0.342,0.624,0.406,158,-0.6,22.9,-4.9,3.2,15676
Jhonny Peralta,Cardinals,95,376,14,36,44,1,9.6 %,17.6 %,0.204,0.273,0.252,0.33,0.456,0.344,121,-3.4,5.4,12.8,3.2,1738
Anthony Rizzo,Cubs,95,415,22,64,52,2,12.8 %,18.3 %,0.236,0.297,0.278,0.383,0.514,0.388,147,-0.4,21.5,-4.5,3.2,3473
Adrian Beltre,Rangers,83,345,14,52,52,1,7.0 %,13.0 %,0.203,0.354,0.335,0.383,0.538,0.397,149,-1,18,-0.2,3.2,639
Billy Hamilton,Reds,92,367,5,47,38,38,4.6 %,18.5 %,0.138,0.336,0.282,0.315,0.419,0.321,101,4.3,4.9,12.7,3.1,10199
Chase Utley,Phillies,93,404,8,52,46,4,6.9 %,12.6 %,0.152,0.313,0.289,0.347,0.441,0.341,118,2.4,10.4,5.9,3.1,1679
Matt Carpenter,Cardinals,97,436,4,61,34,3,12.2 %,16.3 %,0.097,0.329,0.278,0.372,0.375,0.337,116,0.1,8,7.3,3.1,8090
Jose Bautista,Blue Jays,92,398,17,59,54,4,16.1 %,15.3 %,0.206,0.307,0.289,0.408,0.495,0.393,149,-0.3,21.6,-6.4,3.1,1887
Brian Dozier,Twins,94,433,18,71,45,16,12.0 %,18.7 %,0.191,0.255,0.24,0.34,0.431,0.342,117,5,13.1,0.7,3,9810
Brandon Moss,Athletics,91,372,22,47,67,1,9.7 %,23.7 %,0.265,0.3,0.268,0.349,0.534,0.38,146,-0.5,18.7,-3,3,4467
